pred=goalkick top5=[('goalkick', 0.997043788433075), ('shortpass', 0.002518134191632271), ('penalty', 0.00015786997391842306), ('longpass', 0.00015229685232043266), ('corner', 6.114943971624598e-05)]
pred=corner top5=[('corner', 0.9998681545257568), ('longpass', 4.4112101022619754e-05), ('throw-in', 4.34191788372118e-05), ('freekick', 2.6895793780568056e-05), ('foul', 1.6057409084169194e-05)]
pred=penalty top5=[('penalty', 0.9025659561157227), ('throw-in', 0.051503751426935196), ('goalkick', 0.03142968937754631), ('shortpass', 0.010300221852958202), ('foul', 0.0030838227830827236)]
pred=goalkick top5=[('goalkick', 0.9972690939903259), ('shortpass', 0.0009108490194194019), ('foul', 0.0006495683919638395), ('corner', 0.0005197756690904498), ('longpass', 0.0003086940851062536)]
pred=penalty top5=[('penalty', 0.9953896999359131), ('shortpass', 0.004419890698045492), ('longpass', 0.00010239461698802188), ('corner', 8.306613744935021e-05), ('goalkick', 3.7379243167379173e-06)]
pred=longpass top5=[('longpass', 0.9985643029212952), ('goalkick', 0.0014017631765455008), ('shortpass', 1.6946320101851597e-05), ('throw-in', 8.088528375083115e-06), ('corner', 6.2206618167692795e-06)]
pred=longpass top5=[('longpass', 0.9999260902404785), ('shortpass', 7.050954445730895e-05), ('foul', 2.2119490949989995e-06), ('goalkick', 1.2166793794676778e-06), ('throw-in', 2.1141384198841706e-09)]
pred=throw-in top5=[('throw-in', 0.9999481439590454), ('penalty', 4.7168927267193794e-05), ('freekick', 3.41148438565142e-06), ('corner', 9.392056767865142e-07), ('shortpass', 3.0002186690580857e-07)]
pred=ontarget top5=[('ontarget', 0.9998657703399658), ('penalty', 9.858409612206742e-05), ('shortpass', 3.548293170752004e-05), ('corner', 1.2467742749322497e-07), ('longpass', 5.674071879013809e-09)]
pred=penalty top5=[('penalty', 0.9989792108535767), ('throw-in', 0.0004514122265391052), ('freekick', 0.00020695496641565114), ('shortpass', 0.00015472061932086945), ('longpass', 0.00012170027184765786)]
pred=freekick top5=[('freekick', 0.9075238704681396), ('goalkick', 0.07643447071313858), ('throw-in', 0.00785069540143013), ('foul', 0.0052952817641198635), ('penalty', 0.0020456162746995687)]
pred=shortpass top5=[('shortpass', 0.999882698059082), ('freekick', 7.088504935381934e-05), ('throw-in', 2.0794961528736167e-05), ('longpass', 1.5556848666165024e-05), ('penalty', 6.199652489158325e-06)]
pred=penalty top5=[('penalty', 0.730548620223999), ('longpass', 0.25367528200149536), ('goalkick', 0.015032967552542686), ('shortpass', 0.0002854328486137092), ('foul', 0.00016614265041425824)]
pred=goalkick top5=[('goalkick', 0.9483553767204285), ('throw-in', 0.03936775028705597), ('longpass', 0.010895726270973682), ('penalty', 0.0006311575998552144), ('foul', 0.0005378093919716775)]
pred=corner top5=[('corner', 0.9976898431777954), ('foul', 0.0018511185189709067), ('freekick', 0.0001569462037878111), ('throw-in', 0.00013894496078137308), ('longpass', 0.00010332408419344574)]
pred=penalty top5=[('penalty', 0.9918497800827026), ('freekick', 0.0075900740921497345), ('foul', 0.0005600838339887559), ('corner', 7.117614586604759e-08), ('shortpass', 5.5198310115398e-13)]
